Initial_Weight,Final_Weight,Height,Age,Gender
144,142,64,52,female
310,310,66,42,female
195,195,63,35,female
123,122,62,40,female
242,242,74,22,male
132,132,65,19,female
220,220,67,39,female
271,268,64,41,female
228,228,76,41,male
166,166,67,35,female
144,142.7,65,30,female
135,135,61,60,female
231,230,69,28,female
165,165,64,61,female
230,230,67,46,female
237,241.6,67,50,female
193,193,62,48,female
175,175,66,53,female
215,220.2,69,32,female
173,156.2,66,29,female
263,272.4,66,38,female
170,159.8,63,42,female
330,330,70,40,female
131,131.5,69,29,female
216,208.2,61,60,female
142,142.2,67,36,female
218,218,72,30,male
137,136.5,69,31,female
195,185.8,66,39,female
260,260,67,55,female
315,300.8,64,28,female
238,230,67,55,female
189,188.3,64,47,female
180,180,65,51,female
156,154,63,35,female
150,151,59,39,female
294,259,63,39,female
206,207,73,29,male
310,310,68,46,female
160,159,63,40,female
164,158.5,65,51,female
306,302,63,38,female
170,168,67,34,female
232,229,65,34,female
242,242,65,49,female
276,289.4,66,47,female
263,251,64,47,female
332,324,71,50,male
170,170,65,30,female
250,249,66,52,female
142,142,63,35,female
202,202,62,49,female
314,325.4,66,28,female
285,285,76,33,male
170,170,67,52,female
215,215,66,40,female
179,168.5,66,53,female
261,261,75,66,male
125,125,63,23,female
174,172,62,44,female
217,205,72,40,female
320,320,69,26,female
170,170,69,47,male
159,159,67,46,female
203,215.5,65,44,female
215,206.5,67,61,female
130,129.2,62,47,female
214,214,66,29,female
177,166.4,63,27,female
184,170,65,48,female
140,141,69,47,female
318,318,65,32,female
174,174,62,20,female
142,142,61,38,female
225,198,69,30,female
163,163,63,54,female
236,236,65,38,female
158,159,66,24,female
200,200,65,63,female
248,246,65,34,female
130,130,63,41,female
103,103,63,21,female
228,228,75,38,male
165,157,64,25,female
145,145.6,64,45,female
230,227,65,51,female
182,182,64,39,female
253,253,58,39,female
178,178,65,43,female
150,150,68,30,female
143,138.5,63,40,female
183,183,66,67,female
159,159,64,28,female
276,265,71,45,female
235,126,64,56,female
183,185.5,63,32,female
186,184.2,69,47,female
186,195.25,64,56,female
243,240,68,48,female
